Cycle: 10  CDAN-c206_X	Cycle: 10  CDAN-c206_Y	Fitted Cycle: 10  CDAN-c206_X	Fitted Cycle: 10  CDAN-c206_Y
-9.82	-6.34766e-3	-9.82	-0.491
-9.72	5.37109e-3	-9.72	-0.486
-9.62	4.88281e-3	-9.62	-0.481
-9.52	0.0249023	-9.52	-0.476
-9.42	0.034668	-9.42	-0.471
-9.32	0.034668	-9.32	-0.466
-9.22	0.034668	-9.22	-0.461
-9.12	0.0424805	-9.12	-0.456
-9.02	0.0444336	-9.02	-0.451
-8.92	0.0424805	-8.92	-0.446
-8.82	0.0341797	-8.82	-0.441
-8.72	0.0424805	-8.72	-0.436
-8.62	0.0522461	-8.62	-0.431
-8.52	0.0541992	-8.52	-0.426
-8.42	0.0522461	-8.42	-0.421
-8.32	0.0439453	-8.32	-0.416
-8.22	0.0444336	-8.22	-0.411
-8.12	0.0444336	-8.12	-0.406
-8.02	0.0424805	-8.02	-0.401
-7.92	0.0444336	-7.92	-0.396
-7.82	0.0444336	-7.82	-0.391
-7.72	0.0444336	-7.72	-0.386
-7.62	0.0439453	-7.62	-0.381
-7.52	0.0522461	-7.52	-0.376
-7.42	0.0444336	-7.42	-0.371
-7.32	0.0444336	-7.32	-0.366
-7.22	0.0424805	-7.22	-0.361
-7.12	0.0444336	-7.12	-0.356
-7.02	0.0424805	-7.02	-0.351
-6.92	0.0341797	-6.92	-0.346
-6.82	0.0424805	-6.82	-0.341
-6.72	0.034668	-6.72	-0.336
-6.62	0.034668	-6.62	-0.331
-6.52	0.0307617	-6.52	-0.326
-6.42	0.0327148	-6.42	-0.321
-6.32	0.0244141	-6.32	-0.316
-6.22	0.0229492	-6.22	-0.311
-6.12	0.0249023	-6.12	-0.306
-6.02	0.0229492	-6.02	-0.301
-5.92	0.0307617	-5.92	-0.296
-5.82	0.0322266	-5.82	-0.291
-5.72	0.0424805	-5.72	-0.286
-5.62	0.0522461	-5.62	-0.281
-5.52	0.0795898	-5.52	-0.276
-5.42	0.0654297	-5.42	-0.271
-5.32	0.0913086	-5.32	-0.266
-5.22	0.130371	-5.22	-0.261
-5.12	0.170898	-5.12	-0.256
-5.02	0.237793	-5.02	-0.251
-4.92	0.30957	-4.92	-0.246
-4.82	0.362793	-4.82	-0.241
-4.72	0.378418	-4.72	-0.236
-4.62	0.395996	-4.62	-0.231
