Cycle: 8  CDAN1A-c206  39.0625 _X	Cycle: 8  CDAN1A-c206  39.0625 _Y	Cycle: 9  CDAN1A-c206  78.125 n_X	Cycle: 9  CDAN1A-c206  78.125 n_Y	Cycle: 10  CDAN1A-c206  156.25 _X	Cycle: 10  CDAN1A-c206  156.25 _Y	Cycle: 11  CDAN1A-c206  312.5 n_X	Cycle: 11  CDAN1A-c206  312.5 n_Y	Cycle: 12  CDAN1A-c206  625 nM_X	Cycle: 12  CDAN1A-c206  625 nM_Y
-44.12	-0.0672607	-44.12	-0.0378265	-44.12	-0.0689621	-44.12	-0.0443878	-44.12	0.0131836
-44.02	-0.0672607	-44.02	-0.0358734	-44.02	-0.06115	-44.02	-0.0443878	-44.02	0.0131836
-43.92	-0.0770264	-43.92	-0.045639	-43.92	-0.0689621	-43.92	-0.0541534	-43.92	3.41797e-3
-43.82	-0.0770264	-43.82	-0.045639	-43.82	-0.067009	-43.82	-0.0443878	-43.82	3.41797e-3
-43.72	-0.0770264	-43.72	-0.045639	-43.72	-0.0611496	-43.72	-0.0443878	-43.72	0.0131836
-43.62	-0.0770264	-43.62	-0.045639	-43.62	-0.0591965	-43.62	-0.0443878	-43.62	0.0131836
-43.52	-0.0672607	-43.52	-0.0378265	-43.52	-0.0591965	-43.52	-0.0443878	-43.52	0.0131836
-43.42	-0.0672607	-43.42	-0.0358734	-43.42	-0.0591958	-43.42	-0.0443878	-43.42	0.0131836
-43.32	-0.0578842	-43.32	-0.0167313	-43.32	-0.0498202	-43.32	-0.0271988	-43.32	0.0225601
-43.22	-0.0653076	-43.22	-0.0241547	-43.22	-0.0572433	-43.22	-0.0326691	-43.22	0.0245132
-43.12	-0.0653076	-43.12	-0.0241547	-43.12	-0.0572433	-43.12	-0.0326691	-43.12	0.0268555
-43.02	-0.055542	-43.02	-0.0241547	-43.02	-0.0572433	-43.02	-0.0209503	-43.02	0.0268555
-42.92	-0.055542	-42.92	-0.0241547	-42.92	-0.0572441	-42.92	-0.0209503	-42.92	0.0268555
-42.82	-0.0653076	-42.82	-0.0339203	-42.82	-0.067009	-42.82	-0.0307159	-42.82	0.0268555
-42.72	-0.0653076	-42.72	-0.0339203	-42.72	-0.0552902	-42.72	-0.0307159	-42.72	0.0268555
-42.62	-0.055542	-42.62	-0.0339203	-42.62	-0.0552902	-42.62	-0.0307159	-42.62	0.0268555
-42.52	-0.055542	-42.52	-0.0339203	-42.52	-0.0552902	-42.52	-0.0307159	-42.52	0.0268555
-42.42	-0.055542	-42.42	-0.0241547	-42.42	-0.0552902	-42.42	-0.0307159	-42.42	0.0268555
-42.32	-0.055542	-42.32	-0.0241547	-42.32	-0.0552902	-42.32	-0.0307159	-42.32	0.0268555
-42.22	-0.055542	-42.22	-0.0241547	-42.22	-0.0455253	-42.22	-0.0307159	-42.22	0.0268555
-42.12	-0.055542	-42.12	-0.0339203	-42.12	-0.0552902	-42.12	-0.0404816	-42.12	0.0170898
-42.02	-0.055542	-42.02	-0.0261078	-42.02	-0.0474774	-42.02	-0.0404816	-42.02	0.0170898
-41.92	-0.0477295	-41.92	-0.0163422	-41.92	-0.0455244	-41.92	-0.0229034	-41.92	0.0249023
-41.82	-0.0457764	-41.82	-0.014389	-41.82	-0.0455246	-41.82	-0.0209503	-41.82	0.0268555
-41.72	-0.0457764	-41.72	-0.014389	-41.72	-0.0377121	-41.72	-0.0209503	-41.72	0.0268555
-41.62	-0.0360107	-41.62	-0.014389	-41.62	-0.035759	-41.62	-0.0209503	-41.62	0.0268555
-41.52	-0.0360107	-41.52	-4.62341e-3	-41.52	-0.0259933	-41.52	-0.0209503	-41.52	0.0268555
-41.42	-0.0360107	-41.42	-4.62341e-3	-41.42	-0.0259933	-41.42	-0.0209503	-41.42	0.0268555
-41.32	-0.0360107	-41.32	-4.62341e-3	-41.32	-0.0259933	-41.32	-0.0209503	-41.32	0.0268555
-41.22	-0.0262451	-41.22	-4.62341e-3	-41.22	-0.0259933	-41.22	-0.0131378	-41.22	0.0268555
-41.12	-0.0262451	-41.12	-4.62341e-3	-41.12	-0.0259941	-41.12	-0.0111847	-41.12	0.0268555
-41.02	-0.0360107	-41.02	-0.014389	-41.02	-0.0357587	-41.02	-0.0209503	-41.02	0.0170898
-40.92	-0.0281982	-40.92	-6.57654e-3	-40.92	-0.0357588	-40.92	-0.0131378	-40.92	0.0249023
