Cycle: 15  CDAN-D1080A_X	Cycle: 15  CDAN-D1080A_Y	Fitted Cycle: 15  CDAN-D1080A_X	Fitted Cycle: 15  CDAN-D1080A_Y
-6.12	-0.081543	-6.12	-0.306
-6.02	-0.0795898	-6.02	-0.301
-5.92	-0.0703125	-5.92	-0.296
-5.82	-0.050293	-5.82	-0.291
-5.72	-0.0307617	-5.72	-0.286
-5.62	-0.0117188	-5.62	-0.281
-5.52	0.0180664	-5.52	-0.276
-5.42	0.0551758	-5.42	-0.271
-5.32	0.0683594	-5.32	-0.266
-5.22	0.123535	-5.22	-0.261
-5.12	0.175781	-5.12	-0.256
-5.02	0.244141	-5.02	-0.251
-4.92	0.291504	-4.92	-0.246
-4.82	0.355957	-4.82	-0.241
-4.72	0.391113	-4.72	-0.236
-4.62	0.431641	-4.62	-0.231
-4.52	0.463379	-4.52	-0.226
-4.42	0.48291	-4.42	-0.221
-4.32	0.479004	-4.32	-0.216
-4.22	0.465332	-4.22	-0.211
-4.12	0.48291	-4.12	-0.206
-4.02	0.492676	-4.02	-0.201
-3.92	0.531738	-3.92	-0.196
-3.82	0.541504	-3.82	-0.191
-3.72	0.562988	-3.72	-0.186
-3.62	0.592285	-3.62	-0.181
-3.52	0.572754	-3.52	-0.176
-3.42	0.536133	-3.42	-0.171
-3.32	0.479492	-3.32	-0.166
-3.22	0.411133	-3.22	-0.161
-3.12	0.352539	-3.12	-0.156
-3.02	0.276367	-3.02	-0.151
-2.92	0.21582	-2.92	-0.146
-2.82	0.145752	-2.82	-0.141
-2.72	0.0791016	-2.72	-0.136
-2.62	8.78906e-3	-2.62	-0.131
-2.52	-0.072998	-2.52	-0.126
-2.42	-0.196289	-2.42	-0.121
-2.32	-0.303467	-2.32	-0.116
-2.22	-0.383789	-2.22	-0.111
-2.12	-0.444824	-2.12	-0.106
-2.02	-0.48584	-2.02	-0.101
-1.92	-0.538086	-1.92	-0.0959999
-1.82	-0.608887	-1.82	-0.091
-1.72	-0.63623	-1.72	-0.0859999
-1.62	-0.675293	-1.62	-0.0809999
-1.52	-0.712402	-1.52	-0.0759998
-1.42	-0.737793	-1.42	-0.0709999
-1.32	-0.741699	-1.32	-0.066
-1.22	-0.701172	-1.22	-0.0609999
-1.12	-0.65625	-1.12	-0.0559999
-1.02	-0.583984	-1.02	-0.0509998
-0.919998	-0.532715	-0.919998	-0.0459999
-0.82	-0.464844	-0.82	-0.041
-0.719997	-0.388184	-0.719997	-0.0359999
-0.619999	-0.220947	-0.619999	-0.0309999
-0.519997	-0.126465	-0.519997	-0.0259998
-0.419998	-0.214355	-0.419998	-0.0209999
-0.32	0.0419922	-0.32	-0.016
-0.219997	0.975098	-0.219997	-0.0109999
-0.119999	3.40552	-0.119999	-5.99995e-3
-0.0199966	6.34668	-0.0199966	-9.99832e-4
0.0800018	5.89355	0.0800018	-4.753
0.18	2.47559	0.18	-4.74497
0.280003	0.268799	0.280003	-4.73694
0.380001	-0.412842	0.380001	-4.72891
0.480003	-0.440918	0.480003	-4.72089
0.580002	-0.420654	0.580002	-4.71286
0.68	-0.270996	0.68	-4.70483
0.779999	0.0290527	0.779999	-4.6968
0.880005	0.180908	0.880005	-4.68877
0.980003	0.37793	0.980003	-4.68074
1.08	0.549805	1.08	-4.67272
1.18	0.764648	1.18	-4.66469
1.28	0.874023	1.28	-4.65666
1.38	0.955566	1.38	-4.64863
1.48	0.990723	1.48	-4.64061
1.58	1.07666	1.58	-4.63258
1.68	1.11768	1.68	-4.62455
1.78	1.16455	1.78	-4.61652
1.88	1.20361	1.88	-4.6085
1.98	1.24072	1.98	-4.60047
2.08	1.27197	2.08	-4.59244
2.18	1.31641	2.18	-4.58442
2.28	1.34814	2.28	-4.57639
2.38	1.38721	2.38	-4.56836
2.48	1.4082	2.48	-4.56033
2.58	1.43018	2.58	-4.55231
2.68	1.43994	2.68	-4.54428
2.78	1.44922	2.78	-4.53626
2.88	1.46143	2.88	-4.52823
2.98	1.45752	2.98	-4.5202
3.08	1.46875	3.08	-4.51218
3.18	1.47119	3.18	-4.50415
3.28	1.46924	3.28	-4.49612
3.38	1.46924	3.38	-4.4881
3.48	1.47852	3.48	-4.48007
3.58	1.49854	3.58	-4.47205
3.68	1.5	3.68	-4.46402
3.78	1.50049	3.78	-4.456
3.88	1.5083	3.88	-4.44797
3.98	1.51807	3.98	-4.43994
4.08	1.5293	4.08	-4.43192
4.18	1.52979	4.18	-4.42389
4.28	1.54736	4.28	-4.41587
4.38	1.54102	4.38	-4.40784
4.48	1.54932	4.48	-4.39982
4.58	1.55713	4.58	-4.39179
4.68	1.56055	4.68	-4.38377
4.78	1.56885	4.78	-4.37574
4.88	1.5708	4.88	-4.36772
4.98	1.58008	4.98	-4.3597
5.08	1.58057	5.08	-4.35167
5.18	1.58838	5.18	-4.34365
5.28	1.59033	5.28	-4.33562
5.38	1.59961	5.38	-4.3276
5.48	1.6001	5.48	-4.31957
5.58	1.60791	5.58	-4.31155
5.68	1.61133	5.68	-4.30353
5.78	1.61182	5.78	-4.2955
5.88	1.61768	5.88	-4.28748
5.98	1.61963	5.98	-4.27946
6.08	1.62109	6.08	-4.27143
6.18	1.62939	6.18	-4.26341
6.28	1.62939	6.28	-4.25539
