Cycle: 4  c15-c089_X	Cycle: 4  c15-c089_Y	Fitted Cycle: 4  c15-c089_X	Fitted Cycle: 4  c15-c089_Y
-0.459999	-1.58691e-3	-0.459999	-0.0294583
-0.360001	0.019165	-0.360001	-0.0230544
-0.260002	-0.0159912	-0.260002	-0.0166505
-0.160004	-0.05896	-0.160004	-0.0102466
-0.0599976	-0.15625	-0.0599976	-3.84224e-3
0.0400009	-0.432861	0.0400009	-16.7074
0.139999	-1.79028	0.139999	-16.6654
0.239998	-2.07544	0.239998	-16.6234
0.339996	-1.36218	0.339996	-16.5814
0.440002	-0.649292	0.440002	-16.5394
0.540001	-0.136719	0.540001	-16.4974
0.639999	0.335571	0.639999	-16.4554
0.739998	0.575317	0.739998	-16.4135
0.839996	0.730469	0.839996	-16.3715
0.940002	0.852295	0.940002	-16.3295
1.04	1.03479	1.04	-16.2875
1.14	1.09534	1.14	-16.2455
1.24	1.18396	1.24	-16.2035
1.34	1.24841	1.34	-16.1615
1.44	1.31604	1.44	-16.1195
1.54	1.32849	1.54	-16.0775
1.64	1.38123	1.64	-16.0355
1.74	1.43591	1.74	-15.9936
1.84	1.47693	1.84	-15.9516
1.94	1.51599	1.94	-15.9096
2.04	1.53357	2.04	-15.8676
2.14	1.55896	2.14	-15.8256
2.24	1.5824	2.24	-15.7837
2.34	1.59802	2.34	-15.7417
2.44	1.61633	2.44	-15.6997
2.54	1.63318	2.54	-15.6577
2.64	1.65271	2.64	-15.6158
2.74	1.66248	2.74	-15.5738
2.84	1.67297	2.84	-15.5318
2.94	1.68396	2.94	-15.4898
