Cycle: 8  C15N146A_X	Cycle: 8  C15N146A_Y	Fitted Cycle: 8  C15N146A_X	Fitted Cycle: 8  C15N146A_Y
-1.86	-0.270264	-1.86	0.0151888
-1.76	-0.276855	-1.76	0.0143721
-1.66	-0.293701	-1.66	0.0135556
-1.56	-0.315186	-1.56	0.0127389
-1.46	-0.319092	-1.46	0.0119224
-1.36	-0.369873	-1.36	0.0111058
-1.26	-0.398438	-1.26	0.0102891
-1.16	-0.393311	-1.16	9.47256e-3
-1.06	-0.382813	-1.06	8.65594e-3
-0.959999	-0.378906	-0.959999	7.83935e-3
-0.860001	-0.371826	-0.860001	7.02276e-3
-0.759998	-0.376953	-0.759998	6.20615e-3
-0.66	-0.364014	-0.66	5.38956e-3
-0.559998	-0.348877	-0.559998	4.57294e-3
-0.459999	-0.26709	-0.459999	3.75635e-3
-0.360001	-0.244873	-0.360001	2.93976e-3
-0.259998	-0.276123	-0.259998	2.12315e-3
-0.16	-0.317627	-0.16	1.30656e-3
-0.0599976	-0.435059	-0.0599976	4.8994e-4
0.0400009	-0.760498	0.0400009	-0.517327
0.139999	-1.45459	0.139999	-0.5165
0.240002	-1.26196	0.240002	-0.515673
0.34	-0.526123	0.34	-0.514848
0.440002	0.152344	0.440002	-0.514022
0.540001	0.510498	0.540001	-0.513197
0.639999	0.701172	0.639999	-0.512373
0.739998	0.934326	0.739998	-0.511549
0.840004	1.07397	0.840004	-0.510726
0.940002	1.27588	0.940002	-0.509903
1.04	1.39307	1.04	-0.50908
1.14	1.45557	1.14	-0.508258
1.24	1.51685	1.24	-0.507437
1.34	1.56299	1.34	-0.506616
1.44	1.58911	1.44	-0.505795
1.54	1.60669	1.54	-0.504975
1.64	1.63403	1.64	-0.504155
1.74	1.66138	1.74	-0.503336
1.84	1.69067	1.84	-0.502518
1.94	1.71216	1.94	-0.5017
2.04	1.71606	2.04	-0.500882
2.14	1.74341	2.14	-0.500065
2.24	1.77466	2.24	-0.499248
2.34	1.78442	2.34	-0.498432
2.44	1.79492	2.44	-0.497616
2.54	1.78638	2.54	-0.496801
2.64	1.79614	2.64	-0.495986
2.74	1.80005	2.74	-0.495172
2.84	1.81567	2.84	-0.494358
2.94	1.81763	2.94	-0.493544
3.04	1.83398	3.04	-0.492732
3.14	1.83521	3.14	-0.491919
3.24	1.83521	3.24	-0.491107
3.34	1.83521	3.34	-0.490296
3.44	1.84497	3.44	-0.489485
3.54	1.84888	3.54	-0.488674
3.64	1.85474	3.64	-0.487864
