"Volume (mL)"	"BioRad Standards"	"BioRad Standards"	"BioRad Standards"	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
-1.227620	-2.402620					
-1.226620	-2.396030					
-1.225630	-2.387830					
-1.224640	-2.395330					
-1.223640	-2.407320					
-1.222650	-2.418880					
-1.221660	-2.423900					
-1.220670	-2.415640					
-1.219670	-2.375890					
-1.218680	-2.326700					
-1.217690	-2.332530					
-1.216700	-2.369630					
-1.215700	-2.395490					
-1.214710	-2.423470					
-1.213720	-2.419690					
-1.212730	-2.425900					
-1.211730	-2.475900					
-1.210740	-2.464560					
-1.209750	-2.462720					
-1.208750	-2.501770					
-1.207760	-2.520400					
-1.206770	-2.519050					
-1.205780	-2.489020					
-1.204780	-2.475040					
-1.203790	-2.447770					
-1.202800	-2.431460					
-1.201810	-2.466340					
-1.200810	-2.500420					
-1.199820	-2.496470					
-1.198830	-2.492960					
-1.197840	-2.532550					
-1.196840	-2.563000					
-1.195850	-2.537510					
-1.194860	-2.529900					
-1.193860	-2.524120					
-1.192870	-2.521750					
-1.191880	-2.523690					
-1.190890	-2.550310					
-1.189890	-2.539400					
-1.188900	-2.603070					
-1.187910	-2.599290					
-1.186920	-2.583140					
-1.185920	-2.606740					
-1.184930	-2.614840					
-1.183940	-2.607550					
-1.182950	-2.627150					
-1.181950	-2.629690					
-1.180960	-2.636550					
-1.179970	-2.655880					
-1.178970	-2.658150					
-1.177980	-2.651020					
-1.176990	-2.655070					
-1.176000	-2.662040					
-1.175000	-2.697030					
-1.174010	-2.705510					
-1.173020	-2.714420					
-1.172030	-2.747840					
-1.171030	-2.765390					
-1.170040	-2.777000					
-1.169050	-2.826630					
-1.168060	-2.881600					
-1.167060	-2.903800					
-1.166070	-2.900290					
-1.165080	-2.872580					
-1.164080	-2.860700					
-1.163090	-2.877010					
-1.162100	-2.887920					
-1.161110	-2.849040					
-1.160110	-2.853250					
-1.159120	-2.839910					
-1.158130	-2.826900					
-1.157140	-2.812480					
-1.156140	-2.819230					
-1.155150	-2.832080					
-1.154160	-2.828740					
-1.153170	-2.869020					
-1.152170	-2.864270					
-1.151180	-2.845480					
-1.150190	-2.852060					
-1.149190	-2.884360					
-1.148200	-2.910870					
-1.147210	-2.876420					
-1.146220	-2.888140					
-1.145220	-2.865020					
-1.144230	-2.885810					
-1.143240	-2.918970					
-1.142250	-2.938300					
-1.141250	-2.926800					
-1.140260	-2.882470					
-1.139270	-2.910170					
-1.138280	-2.839910					
-1.137280	-2.844670					
-1.136290	-2.867020					
-1.135300	-2.867670					
-1.134300	-2.875340					
-1.133310	-2.891000					
-1.132320	-2.869180					
-1.131330	-2.854490					
-1.130330	-2.827170					
-1.129340	-2.824250					
-1.128350	-2.811240					
-1.127360	-2.835160					
-1.126360	-2.825710					
-1.125370	-2.803840					
-1.124380	-2.770470					
-1.123390	-2.765340					
-1.122390	-2.768630					
-1.121400	-2.749570					
-1.120410	-2.717930					
-1.119410	-2.685530					
-1.118420	-2.652320					
-1.117430	-2.614950					
-1.116440	-2.573960					
-1.115440	-2.546640					
-1.114450	-2.547070					
-1.113460	-2.551610					
-1.112470	-2.539300					
-1.111470	-2.518340					
-1.110480	-2.515320					
-1.109490	-2.532980					
-1.108500	-2.584870					
-1.107500	-2.576830					
-1.106510	-2.586550					
-1.105520	-2.572510					
-1.104520	-2.569050					
-1.103530	-2.600370					
-1.102540	-2.563270					
-1.101550	-2.579530					
-1.100550	-2.637520					
-1.099560	-2.620510					
-1.098570	-2.591620					
-1.097580	-2.563160					
-1.096580	-2.598260					
-1.095590	-2.560090					
-1.094600	-2.569970					
-1.093610	-2.515370					
-1.092610	-2.502140					
-1.091620	-2.459970					
-1.090630	-2.453440					
-1.089630	-2.525200					
-1.088640	-2.523420					
-1.087650	-2.557490					
-1.086660	-2.536160					
-1.085660	-2.494530					
-1.084670	-2.508840					
-1.083680	-2.518720					
-1.082690	-2.541670					
-1.081690	-2.549560					
-1.080700	-2.600050					
-1.079710	-2.598100					
