"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
31.83	-0.6060								
31.95	-0.6420								
32.08	-0.6468								
32.20	-0.6396								
32.33	-0.6420								
32.45	-0.6204								
32.58	-0.5460								
32.70	-0.6396								
32.83	-0.6216								
32.95	-0.6468								
33.08	-0.6384								
33.20	-0.6624								
33.33	-0.6336								
33.46	-0.6564								
33.58	-0.6756								
33.71	-0.6336								
33.83	-0.6624								
33.96	-0.6576								
34.08	-0.6600								
34.21	-0.6336								
34.33	-0.6432								
34.46	-0.6792								
34.58	-0.6156								
34.71	-0.6324								
34.83	-0.5988								
34.96	-0.6000								
35.08	-0.6024								
35.21	-0.5904								
35.34	-0.6012								
35.46	-0.5832								
35.59	-0.6084								
35.71	-0.5496								
35.84	-0.5556								
35.96	-0.5292								
36.09	-0.5136								
36.21	-0.5172								
36.34	-0.4788								
36.46	-0.4596								
36.59	-0.4572								
36.71	-0.4416								
36.84	-0.3852								
36.96	-0.3708								
37.09	-0.3588								
37.21	-0.3132								
37.34	-0.2736								
37.47	-0.2424								
37.59	-0.1464								
37.72	-0.1380								
37.84	-0.1032								
37.97	-0.0432								
38.09	0.0144								
38.22	0.0420								
38.34	0.0504								
38.47	0.1272								
38.59	0.1956								
38.72	0.2556								
38.84	0.4152								
38.97	0.4872								
39.09	0.4896								
39.22	0.4752								
39.34	0.5100								
39.47	0.5808								
39.60	0.6384								
39.72	0.6576								
39.85	0.7608								
39.97	0.8004								
40.10	0.8412								
40.22	0.9108								
40.35	0.9552								
40.47	1.0236								
40.60	1.0368								
40.72	1.0968								
40.85	1.1412								
40.97	1.1928								
41.10	1.2192								
41.22	1.2504								
41.35	1.2756								
41.47	1.3008								
41.60	1.3272								
41.73	1.3788								
41.85	1.3992								
41.98	1.4580								
42.10	1.4844								
42.23	1.5420								
42.35	1.6392								
42.48	1.7400								
42.60	1.8708								
42.73	2.0292								
42.85	2.2320								
42.98	2.4780								
43.10	2.6808								
43.23	2.9796								
43.35	3.1608								
43.48	3.5256								
43.61	3.8280								
43.73	4.0584								
43.86	4.2732								
43.98	4.4412								
44.11	4.6716								
44.23	4.8408								
44.36	4.9548								
44.48	4.9812								
44.61	5.0808								
44.73	5.1600								
44.86	5.1216								
44.98	5.1300								
45.11	5.1372								
45.23	5.1060								
45.36	5.0868								
45.48	5.0544								
45.61	4.9776								
45.74	4.9920								
45.86	4.9572								
45.99	4.9548								
46.11	4.9752								
46.24	5.0088								
46.36	5.1060								
46.49	5.2176								
46.61	5.3616								
46.74	5.5344								
46.86	5.7252								
46.99	5.8728								
47.11	6.0060								
47.24	6.1812								
47.36	6.2352								
47.49	6.3348								
47.61	6.3108								
47.74	6.2220								
47.87	6.0660								
47.99	5.9160								
48.12	5.6544								
48.24	5.4324								
48.37	5.1384								
48.49	4.8540								
48.62	4.5612								
48.74	4.3068								
48.87	4.0728								
48.99	3.7920								
49.12	3.6108								
49.24	3.3156								
49.37	3.2256								
49.49	2.9976								
49.62	2.8536								
49.74	2.6832								
49.87	2.4828								
50.00	2.4096								
50.12	2.2776								
50.25	2.1684								
50.37	2.0184								
50.50	1.9416								
50.62	1.9008								
50.75	1.8252								
50.87	1.7280								
51.00	1.6224								
51.12	1.5792								
51.25	1.5468								
51.37	1.4916								
51.50	1.3836								
51.62	1.3152								
51.75	1.2828								
51.87	1.3020								
52.00	1.2672								
52.13	1.1904								
52.25	1.1616								
52.38	1.1004								
52.50	1.1256								
52.63	1.0908								
52.75	1.0620								
52.88	1.0308								
53.00	1.0092								
53.13	1.0044								
53.25	0.9564								
53.38	0.9708								
53.50	0.9504								
53.63	0.9516								
53.75	0.9516								
53.88	0.9240								
54.01	0.9432								
54.13	0.9228								
54.26	0.8784								
54.38	0.8676								
54.51	0.8604								
54.63	0.8580								
54.76	0.8868								
54.88	0.8904								
55.01	0.8544								
55.13	0.8328								
55.26	0.8424								
55.38	0.8028								
55.51	0.8004								
